City,"Population estimates, July 1, 2019",Female,Female %,Male,Male %,age < 18,age < 18 %,age 18 - 65,age 18 - 65 %,age > 65,age > 65 %
"New York City, NY",8336817,4360155.291,0.523,3976661.709,0.477,1742394.753,0.209,5418931.05,0.65,1175491.197,0.141
"Des Moines, IA",214237,108832.396,0.508,105404.604,0.492,52488.065,0.245,136683.206,0.638,25065.729,0.117
